Ticker ,Date,# Orders,Order Qty,"Executed
Qty",Executed Value ,Average Order Qty,Spread Cost (Bps),"Open
 Price","Arrival
 Mid
 Price","Close
 Price","Fill 
Rate"
XRM.N,20160530,39,4957,4957,27984,127,65.20,-914.76,-13.55,-11.35,1.00
XRS.N,20160530,37,27753,27583,1516414,750,12.89,267.68,-6.41,-17.77,0.99
XRT.P,20160530,36,330916,330197,13971696,9192,2.43,-85.14,-1.01,-0.26,1.00
XRX.N,20160530,1,490,490,4424,490,10.74,207.18,-4.41,1.13,1.00
XXIA.OQ,20160530,2,95,95,918,48,16.14,-301.93,-5.17,114.41,1.00
XYL.N,20160530,15,20920,20920,895155,1395,3.28,101.67,-3.29,8.58,1.00
Y.N,20160530,2,111,111,57386,56,49.32,-57.94,-10.78,42.29,1.00
YELP.N,20160530,41,34531,34092,816411,842,7.47,-51.67,-4.38,10.15,0.99
YHOO.OQ,20160530,39,63349,63321,2329195,1624,2.72,-23.79,-3.26,-3.77,1.00
YNDX.OQ,20160530,13,11531,11531,230088,887,5.38,41.30,-3.89,16.91,1.00
YORW.OQ,20160530,2,1102,1102,31858,551,43.61,-331.46,11.54,-3.83,1.00
YPF.N,20160530,37,136200,134619,2760578,3681,9.02,100.10,-5.33,-1.4,0.99
YRCW.OQ,20160530,1,875,875,7569,875,19.77,-297.62,-28.99,-23.17,1.00
YUM.N,20160530,20,19031,19031,1543342,952,2.97,-73.59,2.09,-7.28,1.00
YY.OQ,20160530,31,81696,77148,3859538,2635,9.07,479.83,-2.93,-1.15,0.94
Z.OQ,20160530,5,8772,8772,220386,1754,12.78,70.83,-2.63,40.91,1.00
ZAGG.OQ,20160530,8,33175,17300,100917,4147,19.54,-975.85,-16.29,15.32,0.52
ZAYO.N,20160530,5,5371,5371,144149,1074,41.62,54.10,-2.48,-14.79,1.00
ZBH.N,20160530,34,52843,51941,6120219,1554,22.01,46.15,-1.19,-0.79,0.98
ZBRA.OQ,20160530,16,20714,20714,1105415,1295,10.97,-117.45,-4.01,-5.38,1.00
ZEN.N,20160530,2,1032,1032,23435,516,40.90,-194.88,-41.94,-57.51,1.00
ZEUS.OQ,20160530,1,457,457,10978,457,45.58,512.62,6.81,-11.92,1.00
ZG.OQ,20160530,3,5494,5494,141643,1831,31.86,-145.97,3.66,-40.59,1.00
ZION.OQ,20160530,11,26827,19741,537042,2439,4.22,-74.72,1.68,-15.94,0.74
ZLTQ.OQ,20160530,14,19888,19888,525110,1421,15.98,-334.71,4.73,-20.91,1.00
ZNGA.OQ,20160530,3,2631,2631,6001,877,41.80,-126.82,-18.8,-83.9,1.00
ZOES.N,20160530,2,2286,2286,82416,1143,247.72,47.82,-11.77,-3.86,1.00
ZTS.N,20160530,27,103456,103456,4871184,3832,2.66,89.02,-2.22,-9.2,1.00
ZUMZ.OQ,20160530,6,4319,4319,65098,720,20.99,-123.42,-10.02,53.35,1.00
